"Variable","Stat","OLS","Logit","Probit"
"1","(Intercept)","Estimate","9.426","63.387","34.225"
"2","","Std Err","[7.027]","[49.750]","[27.879]"
"6","dist_hospi","Estimate","0.000","0.000","0.000"
"7","","Std Err","[0.000]","[0.000]","[0.000]"
"11","dist_cpoblado","Estimate","-0.000","-0.000","-0.000"
"12","","Std Err","[0.000]","[0.000]","[0.000]"
"16","dist_vias","Estimate","-0.000*","-0.000*","-0.000"
"17","","Std Err","[0.000]","[0.000]","[0.000]"
"21","as.factor(genero)Masculino","Estimate","0.151*","2.096*","1.172**"
"22","","Std Err","[0.084]","[1.173]","[0.579]"
"26","as.factor(genero)Sin Información","Estimate","0.582**","4.030**","2.361**"
"27","","Std Err","[0.242]","[1.712]","[0.952]"
"31","year","Estimate","-0.004","-0.032","-0.018"
"32","","Std Err","[0.003]","[0.025]","[0.014]"
"36","month","Estimate","0.001","-0.002","-0.001"
"37","","Std Err","[0.004]","[0.029]","[0.017]"
"41","as.factor(actividad)Agricultura","Estimate","0.112","1.440","0.835"
"42","","Std Err","[0.149]","[1.428]","[0.735]"
"46","as.factor(actividad)Área Despejada","Estimate","-0.167","-14.841","-4.002"
"47","","Std Err","[0.413]","[3956.181]","[973.498]"
"51","as.factor(actividad)Cuidado de animales","Estimate","-0.027","-14.135","-3.773"
"52","","Std Err","[0.231]","[1845.849]","[449.084]"
"56","as.factor(actividad)Erradicador manual - PCI","Estimate","0.067","1.436","0.830"
"57","","Std Err","[0.136]","[1.272]","[0.659]"
"61","as.factor(actividad)Fuerza pública","Estimate","0.131","1.802*","1.013*"
"62","","Std Err","[0.084]","[1.067]","[0.529]"
"66","as.factor(actividad)Jugando","Estimate","0.036","-13.616","-3.378"
"67","","Std Err","[0.258]","[2241.845]","[547.708]"
"71","as.factor(actividad)Manipulación","Estimate","0.616*","20.139","7.233"
"72","","Std Err","[0.347]","[2143.777]","[516.030]"
"76","as.factor(actividad)Pasando, estando cerca","Estimate","0.126","1.815","1.034"
"77","","Std Err","[0.130]","[1.251]","[0.646]"
"81","as.factor(actividad)Recogiendo comida, agua ó  madera","Estimate","0.020","0.393","0.269"
"82","","Std Err","[0.142]","[1.576]","[0.779]"
"86","as.factor(actividad)Sin Información","Estimate","0.082","1.504","0.845"
"87","","Std Err","[0.115]","[1.163]","[0.595]"
"91","as.factor(actividad)Trabajos de casa","Estimate","-0.048","-14.057","-3.625"
"92","","Std Err","[0.272]","[2279.472]","[561.806]"
"96","as.factor(actividad)Transito por trocha atajo","Estimate","0.431**","3.623**","2.179**"
"97","","Std Err","[0.216]","[1.556]","[0.861]"
"101","as.factor(actividad)Transito por via usual","Estimate","0.055","-13.285","-3.349"
"102","","Std Err","[0.187]","[1124.358]","[267.712]"
"106","as.factor(actividad)Viajando","Estimate","0.002","-13.757","-3.392"
"107","","Std Err","[0.417]","[3956.181]","[973.498]"
"111","condicionFuerza pública","Estimate","0.134","0.841","0.489"
"112","","Std Err","[0.092]","[0.593]","[0.340]"
"116","tipo_accidenteAccidente por MUSE","Estimate","-0.135","-15.714","-4.703"
"117","","Std Err","[0.232]","[2143.776]","[516.028]"
